COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
BOLETIM - SETEMBRO VERDE DIREITOS A PcDs.mp4,BOLETIM - SETEMBRO VERDE: DIREITOS A PcDs,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:47:51.976000
UFOP EXPLICA - TROTES UNIVERSITÁRIOS.mp4,UFOP EXPLICA - TROTES UNIVERSITÁRIOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 13:51:16.967000
DOC UNIVERSIDADE I UM LUGAR SINGULAR.mp4,DOC UNIVERSIDADE (2023) - UM LUGAR SINGULAR,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:52.679000
VOZES DO CARIRI (2023) - EP2 - BLOCO 1.mp4,VOZES DO CARIRI (2023) - EP2 - CENTRO CULTURAL,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI (2023) - EP2 - BLOCO 1.jpg,OK,2025-09-12 13:32:47.060000
REPORTAGEM - ATUAÇÃO DO LAPAC DA UFOP.mp4,REPORTAGEM - ATUAÇÃO DO LAPAC DA UFOP,1,BMP,160x90,C:\EPG\thumbs\REPORTAGEM - ATUAÇÃO DO LAPAC DA UFOP.jpg,OK,2025-08-22 09:46:34.910000
VOZES DO CARIRI - EP4 - BLOCO 1.mp4,VOZES DO CARIRI (2023) - EP4 - BREJO SANTO,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI - EP4 - BLOCO 1.jpg,OK,2025-09-15 09:38:13.505000
VOZES DO CARIRI (2023) - EP2 - BLOCO 2.mp4,VOZES DO CARIRI (2023) - EP2 - CENTRO CULTURAL,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI (2023) - EP2 - BLOCO 2.jpg,OK,2025-09-12 13:32:51.720000
BOLETIM - ACESSO MEDIAÇÃO COMUNITÁRIA.mp4,BOLETIM - ACESSO MEDIAÇÃO COMUNITÁRIA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:47:49.463000
VOZES DO CARIRI (2023) - EP2 - BLOCO 3.mp4,VOZES DO CARIRI (2023) - EP2 - CENTRO CULTURAL,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI (2023) - EP2 - BLOCO 3.jpg,OK,2025-09-12 13:32:57.794000
VOZES DO CARIRI - EP4 - BLOCO 2.mp4,VOZES DO CARIRI (2023) - EP4 - BREJO SANTO,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI - EP4 - BLOCO 2.jpg,OK,2025-09-15 09:38:41.667000
FIU - COLETIVOS - INSTITUTO DRAGAO FANTASTICO .mp4,FIU - COLETIVOS - INSTITUTO DRAGAO FANTASTICO ,1,BMP,160x90,C:\EPG\thumbs\FIU - COLETIVOS - INSTITUTO DRAGAO FANTASTICO .jpg,OK,2025-07-23 09:56:46.515000
DOC UNIVERSIDADE I INVASÃO A DOMÍCILIO.mp4,DOC UNIVERSIDADE (2023) - INVASÃO A DOMÍCILIO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 10:17:50.454000
VOZES DO CARIRI - EP4 - BLOCO 3.mp4,VOZES DO CARIRI (2023) - EP4 - BREJO SANTO,1,BMP,160x90,C:\EPG\thumbs\VOZES DO CARIRI - EP4 - BLOCO 3.jpg,OK,2025-09-15 09:38:49.388000
REPORTAGEM - HERBÁRIO UFOP.mp4,REPORTAGEM - HERBÁRIO DA UFOP,1,BMP,160x90,C:\EPG\thumbs\REPORTAGEM - HERBÁRIO UFOP.jpg,OK,2025-08-26 12:41:27.390000
BOLETIM - CADASTRO ARTESÃOS MARIANA.mp4,BOLETIM - CADASTRO DOS ARTESÃOS DE MARIANA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:47:49.888000
