COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
ESTAÇÕES I JACUTINGA.mp4,ESTAÇÕES - JACUTINGA,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I JACUTINGA.jpg,OK,2025-08-28 12:24:21.748000
ESTAÇÕES I JECEABA.mp4,ESTAÇÕES - JECEABA,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I JECEABA.jpg,OK,2025-08-28 12:24:26.882000
ESTAÇÕES I MATOZINHOS.mp4,ESTAÇÕES - MATOZINHOS,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I MATOZINHOS.jpg,OK,2025-08-28 12:24:31.480000
"ESTAÇÕES I MONTES CLAROS, CAPITÃO ENÉAS E JANAÚBA.mp4","ESTAÇÕES - MONTES CLAROS, CAPITÃO ENÉAS E JANAÚBA",1,BMP,160x90,"C:\EPG\thumbs\ESTAÇÕES I MONTES CLAROS, CAPITÃO ENÉAS E JANAÚBA.jpg",OK,2025-08-28 12:24:42.198000
"ESTAÇÕES I PAI PEDRO, CATUTI E MONTE AZUL.mp4","ESTAÇÕES - PAI PEDRO, CATUTI E MONTE AZUL",1,BMP,160x90,"C:\EPG\thumbs\ESTAÇÕES I PAI PEDRO, CATUTI E MONTE AZUL.jpg",OK,2025-08-28 12:24:48.181000
ESTAÇÕES I PEDRO LEOPOLDO.mp4,ESTAÇÕES - PEDRO LEOPOLDO,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I PEDRO LEOPOLDO.jpg,OK,2025-08-28 12:24:57.700000
ESTAÇÕES I POÇOS DE CALDAS.mp4,ESTAÇÕES - POÇOS DE CALDAS,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I POÇOS DE CALDAS.jpg,OK,2025-08-28 12:25:07.281000
ESTAÇÕES I RESPLENDOR.mp4,ESTAÇÕES - RESPLENDOR,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I RESPLENDOR.jpg,OK,2025-08-28 12:25:13.266000
ESTAÇÕES I SANTA LUZIA.mp4,ESTAÇÕES - SANTA LUZIA,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I SANTA LUZIA.jpg,OK,2025-08-28 12:25:17.934000
ESTAÇÕES I SÃO JOÃO DEL-REI P1.mp4,ESTAÇÕES - SÃO JOÃO DEL-REI ,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I SÃO JOÃO DEL-REI P1.jpg,OK,2025-08-29 12:38:59.084000
ESTAÇÕES I SÃO JOÃO DEL-REI P2.mp4,ESTAÇÕES - SÃO JOÃO DEL-REI ,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I SÃO JOÃO DEL-REI P2.jpg,OK,2025-08-29 12:39:06.250000
ESTAÇÕES I SETE LAGOAS.mp4,ESTAÇÕES - SETE LAGOAS,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I SETE LAGOAS.jpg,OK,2025-08-28 12:25:37.447000
ESTAÇÕES I TIRADENTES.mp4,ESTAÇÕES - TIRADENTES,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I TIRADENTES.jpg,OK,2025-08-28 12:25:42.514000
ESTAÇÕES I TREM DE PASSAGEIROS VITÓRIA-MINAS.mp4,ESTAÇÕES - TREM DE PASSAGEIROS VITÓRIA-MINAS,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I TREM DE PASSAGEIROS VITÓRIA-MINAS.jpg,OK,2025-08-28 12:26:03.747000
ESTAÇÕES I ANTÔNIO CARLOS.mp4,ESTAÇÕES - ANTÔNIO CARLOS,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I ANTÔNIO CARLOS.jpg,OK,2025-08-28 12:20:04.715000
ESTAÇÕES I ARAÇAÍ.mp4,ESTAÇÕES - ARAÇAÍ,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I ARAÇAÍ.jpg,OK,2025-08-28 12:20:10.001000
ESTAÇÕES I BARBACENA.mp4,ESTAÇÕES - BARBACENA,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I BARBACENA.jpg,OK,2025-08-28 12:20:15.749000
ESTAÇÕES I BELO HORIZONTE.mp4,ESTAÇÕES - BELO HORIZONTE,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I BELO HORIZONTE.jpg,OK,2025-08-28 12:20:20.499000
ESTAÇÕES I BELO VALE .mp4,ESTAÇÕES - BELO VALE ,1,BMP,160x90,C:\EPG\thumbs\ESTAÇÕES I BELO VALE .jpg,OK,2025-08-28 12:20:25.967000
ESTADO DA ARTE I POTY LAZZAROTTO.mp4,ESTADO DA ARTE - POTY LAZZAROTTO,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I POTY LAZZAROTTO.jpg,OK,2025-08-28 12:38:34.177000
ESTADO DA ARTE I REPORTAGEM - FESTIVAL DE INVERNO - ATRAÇÕES CULTURAIS.mp4,ESTADO DA ARTE - FESTIVAL DE INVERNO - ATRAÇÕES,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I REPORTAGEM - FESTIVAL DE INVERNO - ATRAÇÕES CULTURAIS.jpg,OK,2025-08-27 09:40:22.177000
ESTADO DA ARTE I REPORTAGEM - FESTIVAL DE INVERNO - BASTIDORES.mp4,ESTADO DA ARTE - FESTIVAL DE INVERNO - BASTIDORES,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I REPORTAGEM - FESTIVAL DE INVERNO - BASTIDORES.jpg,OK,2025-08-27 09:40:09.896000
ESTADO DA ARTE I REPORTAGEM - RUÍNAS DE SÃO FRANCISCO E BLOCO AFOXÉ.mp4,ESTADO DA ARTE - REPORTAGEM - RUÍNAS DE SÃO FRANCISCO E BLOCO AFOXÉ,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I REPORTAGEM - RUÍNAS DE SÃO FRANCISCO E BLOCO AFOXÉ.jpg,OK,2025-08-28 12:38:40.210000
ESTADO DA ARTE I TÉSSERA - ALMA DO GESTO.mp4,ESTADO DA ARTE - TÉSSERA - ALMA DO GESTO,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I TÉSSERA - ALMA DO GESTO.jpg,OK,2025-08-28 12:38:45.210000
ESTADO DA ARTE  I VIDEOARTE.mp4,ESTADO DA ARTE - VIDEOARTE,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE  I VIDEOARTE.jpg,OK,2025-08-28 12:38:57.031000
ESTADO DA ARTE I 60 ANOS DO GOLPE MILITAR -TERRA INCÓGNITA .mp4,ESTADO DA ARTE - 60 ANOS DO GOLPE MILITAR -TERRA INCÓGNITA ,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I 60 ANOS DO GOLPE MILITAR -TERRA INCÓGNITA .jpg,OK,2025-08-28 12:36:28.143000
ESTADO DA ARTE I A SAGA DAS CANOAS AVÁ-GUARANI .mp4,ESTADO DA ARTE - A SAGA DAS CANOAS AVÁ-GUARANI ,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I A SAGA DAS CANOAS AVÁ-GUARANI .jpg,OK,2025-08-28 12:36:33.645000
ESTADO DA ARTE I ARTISTAS DE RUA.mp4,ESTADO DA ARTE - ARTISTAS DE RUA,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I ARTISTAS DE RUA.jpg,OK,2025-08-28 12:36:39.478000
ESTADO DA ARTE I CAPOEIRA ANGOLA.mp4,ESTADO DA ARTE - CAPOEIRA ANGOLA,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I CAPOEIRA ANGOLA.jpg,OK,2025-08-28 12:36:44.664000
"ESTADO DA ARTE I CASA HOFFMANN CORPO, MOVIMENTO E DANÇA.mp4","ESTADO DA ARTE - CASA HOFFMANN CORPO, MOVIMENTO E DANÇA",1,BMP,160x90,"C:\EPG\thumbs\ESTADO DA ARTE I CASA HOFFMANN CORPO, MOVIMENTO E DANÇA.jpg",OK,2025-08-28 12:36:50.712000
ESTADO DA ARTE I CENTRO DE ESTUDOS E PESQUISAS ARQUEOLÓGICAS DA UFPR.mp4,ESTADO DA ARTE - CENTRO DE ESTUDOS E PESQUISAS ARQUEOLÓGICAS DA UFPR,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I CENTRO DE ESTUDOS E PESQUISAS ARQUEOLÓGICAS DA UFPR.jpg,OK,2025-08-28 12:36:56.510000
ESTADO DA ARTE I COLETIVOS CULTURAIS.mp4,ESTADO DA ARTE - COLETIVOS CULTURAIS,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I COLETIVOS CULTURAIS.jpg,OK,2025-08-28 12:37:02.246000
ESTADO DA ARTE I CONHECENDO A GIBITECA DE CURITIBA.mp4,ESTADO DA ARTE - CONHECENDO A GIBITECA DE CURITIBA,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I CONHECENDO A GIBITECA DE CURITIBA.jpg,OK,2025-08-28 12:37:10.276000
ESTADO DA ARTE I EXPOSIÇÃO NOVOS CAIÇARAS EM MORRETES.mp4,ESTADO DA ARTE - EXPOSIÇÃO NOVOS CAIÇARAS EM MORRETES,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I EXPOSIÇÃO NOVOS CAIÇARAS EM MORRETES.jpg,OK,2025-08-28 12:37:18.310000
ESTADO DA ARTE I FESTIVAL DE INVERNO - OFICINAS.mp4,ESTADO DA ARTE - FESTIVAL DE INVERNO - OFICINAS,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I FESTIVAL DE INVERNO - OFICINAS.jpg,OK,2025-08-28 12:37:28.578000
ESTADO DA ARTE I FESTIVAL DE TEATRO DE CURITIBA.mp4,ESTADO DA ARTE - FESTIVAL DE TEATRO DE CURITIBA,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I FESTIVAL DE TEATRO DE CURITIBA.jpg,OK,2025-08-28 12:37:34.963000
ESTADO DA ARTE I GESTÃO CULTURAL.mp4,ESTADO DA ARTE - GESTÃO CULTURAL,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I GESTÃO CULTURAL.jpg,OK,2025-08-28 12:37:39.677000
ESTADO DA ARTE I HQs EM CURITIBA.mp4,ESTADO DA ARTE - HQs EM CURITIBA,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I HQs EM CURITIBA.jpg,OK,2025-08-28 12:37:44.962000
"ESTADO DA ARTE I ILUSTRAÇÃO BOTÂNICA, UNIÃO DE ARTE E CIÊNCIA.mp4","ESTADO DA ARTE - ILUSTRAÇÃO BOTÂNICA, UNIÃO DE ARTE E CIÊNCIA",1,BMP,160x90,"C:\EPG\thumbs\ESTADO DA ARTE I ILUSTRAÇÃO BOTÂNICA, UNIÃO DE ARTE E CIÊNCIA.jpg",OK,2025-08-28 12:37:51.129000
ESTADO DA ARTE I LABORATÓRIO DE MÚSICA ANTIGA DA UFPR.mp4,ESTADO DA ARTE - LABORATÓRIO DE MÚSICA ANTIGA DA UFPR,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I LABORATÓRIO DE MÚSICA ANTIGA DA UFPR.jpg,OK,2025-08-28 12:37:57.296000
"ESTADO DA ARTE I LATIM EM PÓ, OS CAMINHOS DA LÍNGUA PORTUGUESA.mp4","ESTADO DA ARTE - LATIM EM PÓ, OS CAMINHOS DA LÍNGUA PORTUGUESA",1,BMP,160x90,"C:\EPG\thumbs\ESTADO DA ARTE I LATIM EM PÓ, OS CAMINHOS DA LÍNGUA PORTUGUESA.jpg",OK,2025-08-28 12:38:07.244000
ESTADO DA ARTE I MURAL UFPR - PINTURAS QUE SE DESTACAM POLITÉCNICO.mp4,ESTADO DA ARTE - MURAL UFPR - PINTURAS QUE SE DESTACAM POLITÉCNICO,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I MURAL UFPR - PINTURAS QUE SE DESTACAM POLITÉCNICO.jpg,OK,2025-08-28 12:38:14.162000
ESTADO DA ARTE I MUSEU DE CIÊNCIA NATURAIS DA UFPR.mp4,ESTADO DA ARTE - MUSEU DE CIÊNCIA NATURAIS DA UFPR,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I MUSEU DE CIÊNCIA NATURAIS DA UFPR.jpg,OK,2025-08-28 12:38:19.409000
ESTADO DA ARTE I OBRAS RARAS DA UFPR.mp4,ESTADO DA ARTE - OBRAS RARAS DA UFPR,1,BMP,160x90,C:\EPG\thumbs\ESTADO DA ARTE I OBRAS RARAS DA UFPR.jpg,OK,2025-08-28 12:38:24.676000
UFOP EM CASA I A LUZANDEJA.mp4,UFOP EM CASA - A LUZANDEJA,1,BMP,160x90,C:\EPG\thumbs\UFOP EM CASA I A LUZANDEJA.jpg,OK,2025-08-21 10:53:44.073000
ANIVERSÁRIO TV 24 I 1 RONDOM.mp4,ANIVERSÁRIO TV UFOP - RONDON,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 1 RONDOM.jpg,OK,2025-09-02 09:39:50.980000
ANIVERSÁRIO TV 24 I 2 CHICO.mp4,ANIVERSÁRIO TV UFOP - CHICO,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 2 CHICO.jpg,OK,2025-09-02 09:38:10.195000
ANIVERSÁRIO TV 24 I 3 KARINA.mp4,ANIVERSÁRIO TV UFOP - KARINA,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 3 KARINA.jpg,OK,2025-09-02 09:39:06.348000
ANIVERSÁRIO TV 24 I 4 LÍVIA.mp4,ANIVERSÁRIO TV UFOP - LÍVIA,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 4 LÍVIA.jpg,OK,2025-09-02 09:39:28.677000
ANIVERSÁRIO TV 24 I 5 MARCO.mp4,ANIVERSÁRIO TV UFOP - MARCO,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 5 MARCO.jpg,OK,2025-09-02 09:39:43.468000
ANIVERSÁRIO TV 24 I 6 ADRIANA.mp4,ANIVERSÁRIO TV UFOP - ADRIANA,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 6 ADRIANA.jpg,OK,2025-09-02 09:37:59.100000
ANIVERSÁRIO TV 24 I 7 LUCAS.mp4,ANIVERSÁRIO TV UFOP - LUCAS,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 7 LUCAS.jpg,OK,2025-09-02 09:39:36.613000
ANIVERSÁRIO TV 24 I 8 DANILO ROXETTE.mp4,ANIVERSÁRIO TV UFOP - DANILO ROXETTE,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 8 DANILO ROXETTE.jpg,OK,2025-09-02 09:38:25.611000
ANIVERSÁRIO TV 24 I 9 WANDERLEY.mp4,ANIVERSÁRIO TV UFOP - WANDERLEY,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 9 WANDERLEY.jpg,OK,2025-09-02 09:40:05.924000
ANIVERSÁRIO TV 24 I 10 DU.mp4,ANIVERSÁRIO TV UFOP - DU,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 10 DU.jpg,OK,2025-09-02 09:38:57.798000
ANIVERSÁRIO TV 24 I 11 LAIS.mp4,ANIVERSÁRIO TV UFOP - LAIS,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 11 LAIS.jpg,OK,2025-09-02 09:39:21.252000
ANIVERSÁRIO TV 24 I 12 ANA.mp4,ANIVERSÁRIO TV UFOP - ANA,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 12 ANA.jpg,OK,2025-09-02 09:37:52.299000
ANIVERSÁRIO TV 24 I 13 DANILO NONATO.mp4,ANIVERSÁRIO TV UFOP - DANILO NONATO,1,BMP,160x90,C:\EPG\thumbs\ANIVERSÁRIO TV 24 I 13 DANILO NONATO.jpg,OK,2025-09-02 09:38:17.797000
CAMPANHA LGBTQIAPN.mp4,CAMPANHA LGBTQIAPN+,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA LGBTQIAPN.jpg,OK,2025-09-02 09:40:27.047000
CAMPANHA SAÚDE BEM ESTAR.mp4,CAMPANHA SAÚDE BEM ESTAR,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA SAÚDE BEM ESTAR.jpg,OK,2025-02-18 19:23:26.489000
CAMPANHA TODA FORMA DE AMOR VALE A PENA.mp4,CAMPANHA TODA FORMA DE AMOR VALE A PENA,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA DE AMOR VALE A PENA.jpg,OK,2025-02-18 19:22:34.353000
CAMPANHA TODA FORMA I ETARISMO.mp4,CAMPANHA TODA FORMA - ETARISMO,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I ETARISMO.jpg,OK,2025-08-22 14:20:33.391000
CAMPANHA TODA FORMA I GORDOFOBIA.mp4,CAMPANHA TODA FORMA - GORDOFOBIA,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I GORDOFOBIA.jpg,OK,2025-08-22 14:20:40.667000
CAMPANHA TODA FORMA I SILENCIAMENTO É RACISMO.mp4,CAMPANHA TODA FORMA - SILENCIAMENTO É RACISMO,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I SILENCIAMENTO É RACISMO.jpg,OK,2025-08-22 14:20:50.516000
CAMPANHA TODA FORMA I SORO POSITIVO.mp4,CAMPANHA TODA FORMA - SORO POSITIVO,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I SORO POSITIVO.jpg,OK,2025-08-22 14:20:58.359000
CAMPANHA TODA FORMA I VALORIZAR A VIDA É UM ATO DE AMOR.mp4,CAMPANHA TODA FORMA - VALORIZAR A VIDA,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I VALORIZAR A VIDA É UM ATO DE AMOR.jpg,OK,2025-08-22 14:21:21.303000
CAMPANHA TODA FORMA I VIOLÊNCIA É AGRESSÃO.mp4,CAMPANHA TODA FORMA - VIOLÊNCIA É AGRESSÃO,1,BMP,160x90,C:\EPG\thumbs\CAMPANHA TODA FORMA I VIOLÊNCIA É AGRESSÃO.jpg,OK,2025-08-22 14:21:31.151000
CHAMADA I ARTHUR MEDRADO.mp4,CHAMADA - ARTHUR MEDRADO,1,BMP,160x90,C:\EPG\thumbs\CHAMADA I ARTHUR MEDRADO.jpg,OK,2025-08-18 12:48:09.323000
CHAMADA I COVID 1.mp4,CHAMADA - COVID 1,1,BMP,160x90,C:\EPG\thumbs\CHAMADA I COVID 1.jpg,OK,2025-08-18 12:48:29.709000
CHAMADA I COVID 2.mp4,CHAMADA - COVID 2,1,BMP,160x90,C:\EPG\thumbs\CHAMADA I COVID 2.jpg,OK,2025-08-18 12:48:25.047000
CHAMADA I COVID 3.mp4,CHAMADA - COVID 3,1,BMP,160x90,C:\EPG\thumbs\CHAMADA I COVID 3.jpg,OK,2025-08-18 12:48:19.449000
CHAMADA I DALILA XAVIER.mp4,CHAMADA - DALILA XAVIER,1,BMP,160x90,C:\EPG\thumbs\CHAMADA I DALILA XAVIER.jpg,OK,2025-08-18 12:48:14.990000
CINE VILA RICA.mp4,CONHEÇA O CINE VILA RICA,1,BMP,160x90,C:\EPG\thumbs\CINE VILA RICA.jpg,OK,2025-09-19 09:22:28.682000
DIORAMA I LAVRAS NOVAS P1.mp4,DIORAMA (2012) - LAVRAS NOVAS ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I LAVRAS NOVAS P1.jpg,OK,2025-09-02 09:44:10.093000
CONHEÇA A UFOP.mp4,CONHEÇA A UFOP,1,BMP,160x90,C:\EPG\thumbs\CONHEÇA A UFOP.jpg,OK,2025-03-17 10:50:25.234000
CONHEÇA O PRODESA.mp4,CONHEÇA O PRODESA,1,BMP,160x90,C:\EPG\thumbs\CONHEÇA O PRODESA.jpg,OK,2025-02-26 11:24:24.380000
CURTA I PSIU ISSO AQUI TEM GRAÇA.mp4,CURTA - PSIU ISSO AQUI TEM GRAÇA,1,BMP,160x90,C:\EPG\thumbs\CURTA I PSIU ISSO AQUI TEM GRAÇA.jpg,OK,2025-08-18 12:48:57.963000
DIORAMA I LAVRAS NOVAS P2.mp4,DIORAMA (2012) - LAVRAS NOVAS ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I LAVRAS NOVAS P2.jpg,OK,2025-09-02 09:44:18.428000
DIORAMA I MIGUEL BURNIER.mp4,DIORAMA (2012) - MIGUEL BURNIER,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I MIGUEL BURNIER.jpg,OK,2025-09-02 09:44:25.484000
DIORAMA I RODRIGO SILVA P1.mp4,DIORAMA (2012) - RODRIGO SILVA ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I RODRIGO SILVA P1.jpg,OK,2025-09-02 09:44:32.862000
DIORAMA I RODRIGO SILVA P2.mp4,DIORAMA (2012) - RODRIGO SILVA ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I RODRIGO SILVA P2.jpg,OK,2025-09-02 09:44:38.932000
DIORAMA I SANTA RITA.mp4,DIORAMA (2012) - SANTA RITA,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SANTA RITA.jpg,OK,2025-09-02 09:44:45.292000
DIORAMA I SANTO ANTÔNIO LEITE P1.mp4,DIORAMA (2012) - SANTO ANTÔNIO LEITE ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SANTO ANTÔNIO LEITE P1.jpg,OK,2025-09-02 09:44:54.469000
DIORAMA I SANTO ANTÔNIO LEITE P2.mp4,DIORAMA (2012) - SANTO ANTÔNIO LEITE ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SANTO ANTÔNIO LEITE P2.jpg,OK,2025-09-02 09:45:02.660000
DIORAMA I SANTO ANTÔNIO SALTO.mp4,DIORAMA (2012) - SANTO ANTÔNIO SALTO,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SANTO ANTÔNIO SALTO.jpg,OK,2025-09-02 09:45:09.956000
DIORAMA I SÃO BARTOLOMEU P1.mp4,DIORAMA (2012) - SÃO BARTOLOMEU ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SÃO BARTOLOMEU P1.jpg,OK,2025-09-02 09:45:19.397000
DIORAMA I SÃO BARTOLOMEU P2.mp4,DIORAMA (2012) - SÃO BARTOLOMEU ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I SÃO BARTOLOMEU P2.jpg,OK,2025-09-02 09:45:32.700000
DÊ UM TEMPO I DÊ UM SORRISO.mp4,DÊ UM TEMPO - DÊ UM SORRISO,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I DÊ UM SORRISO.jpg,OK,2025-08-18 12:49:34.586000
DÊ UM TEMPO I LEIA UMA POESIA.mp4,DÊ UM TEMPO - LEIA UMA POESIA,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I LEIA UMA POESIA.jpg,OK,2025-08-18 12:49:29.997000
DÊ UM TEMPO I OLHE A SUA VOLTA.mp4,DÊ UM TEMPO - OLHE A SUA VOLTA,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I OLHE A SUA VOLTA.jpg,OK,2025-08-18 12:49:25.106000
DÊ UM TEMPO I OLHE PARA O CÉU.mp4,DÊ UM TEMPO - OLHE PARA O CÉU,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I OLHE PARA O CÉU.jpg,OK,2025-08-18 12:49:20.647000
DÊ UM TEMPO I PENSE EM ALGO BOM.mp4,DÊ UM TEMPO - PENSE EM ALGO BOM,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I PENSE EM ALGO BOM.jpg,OK,2025-08-18 12:49:15.810000
DÊ UM TEMPO I RESPIRE FUNDO.mp4,DÊ UM TEMPO - RESPIRE FUNDO,1,BMP,160x90,C:\EPG\thumbs\DÊ UM TEMPO I RESPIRE FUNDO.jpg,OK,2025-08-18 12:49:10.933000
DENGUE COVID GRIPE.mp4,"SAIBA IDENTIFICAR: DENGUE, COVID E GRIPE",1,BMP,160x90,C:\EPG\thumbs\DENGUE COVID GRIPE.jpg,OK,2025-09-03 10:12:18.150000
DENUNCIE ASSÉDIO.mp4,DENUNCIE QUALQUER FORMA DE ASSÉDIO,1,BMP,160x90,C:\EPG\thumbs\DENUNCIE ASSÉDIO.jpg,OK,2025-09-02 09:52:08.278000
DIORAMA I AMARANTINA.mp4,DIORAMA (2012) - AMARANTINA,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I AMARANTINA.jpg,OK,2025-09-02 09:43:07.150000
DIORAMA I ANTÔNIO PEREIRA.mp4,DIORAMA (2012) - ANTÔNIO PEREIRA,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I ANTÔNIO PEREIRA.jpg,OK,2025-09-02 09:43:16.564000
DIORAMA I CACHOEIRA DO CAMPO.mp4,DIORAMA (2012) - CACHOEIRA DO CAMPO,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I CACHOEIRA DO CAMPO.jpg,OK,2025-09-02 09:43:29.405000
DIORAMA I CHAPADA.mp4,DIORAMA (2012) - CHAPADA,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I CHAPADA.jpg,OK,2025-09-02 09:43:38.030000
DIORAMA I ENGENHEIRO CORREA.mp4,DIORAMA (2012) - ENGENHEIRO CORREA,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I ENGENHEIRO CORREA.jpg,OK,2025-09-02 09:43:47.125000
DIORAMA I GLAURA P1.mp4,DIORAMA (2012) - GLAURA ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I GLAURA P1.jpg,OK,2025-09-02 09:43:53.541000
DIORAMA I GLAURA P2.mp4,DIORAMA (2012) - GLAURA ,1,BMP,160x90,C:\EPG\thumbs\DIORAMA I GLAURA P2.jpg,OK,2025-09-02 09:44:02.013000
LIGADA NO SEU OLHAR I MULHER.mp4,LIGADA NO SEU OLHAR - MULHER,1,BMP,160x90,C:\EPG\thumbs\LIGADA NO SEU OLHAR I MULHER.jpg,OK,2025-08-18 12:56:42.374000
FOCO DA DENGUE.mp4,FOCO DA DENGUE,1,BMP,160x90,C:\EPG\thumbs\FOCO DA DENGUE.jpg,OK,2025-02-18 20:35:52.560000
FORMAS DE MUDAR O MUNDO I 1.mp4,FORMAS DE MUDAR O MUNDO - EP1,1,BMP,160x90,C:\EPG\thumbs\FORMAS DE MUDAR O MUNDO I 1.jpg,OK,2025-08-28 14:08:19.391000
FORMAS DE MUDAR O MUNDO I 2 .mp4,FORMAS DE MUDAR O MUNDO - EP2 ,1,BMP,160x90,C:\EPG\thumbs\FORMAS DE MUDAR O MUNDO I 2 .jpg,OK,2025-08-28 14:08:25.540000
FORMAS DE MUDAR O MUNDO I 3.mp4,FORMAS DE MUDAR O MUNDO - EP3,1,BMP,160x90,C:\EPG\thumbs\FORMAS DE MUDAR O MUNDO I 3.jpg,OK,2025-08-28 14:08:31.392000
HISTÓRIA DE LUGARES I ANTÔNIO DIAS.mp4,HISTÓRIA DOS LUGARES - ANTÔNIO DIAS,1,BMP,160x90,C:\EPG\thumbs\HISTÓRIA DE LUGARES I ANTÔNIO DIAS.jpg,OK,2025-09-02 09:58:25.839000
HISTÓRIA DE LUGARES I CABEÇAS.mp4,HISTÓRIA DOS LUGARES - CABEÇAS,1,BMP,160x90,C:\EPG\thumbs\HISTÓRIA DE LUGARES I CABEÇAS.jpg,OK,2025-09-02 09:58:34.446000
