COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_ABRE,BLOB_WxH,FILE_ESPERADO,FILE_ENCONTRADO,FILE_ABRE,FILE_WxH,AHASH_DIST_0..64,STATUS,COM_ULTIMA_ALTERACAO,URL_ESPERADA
PERIPATETICOS I FILOSOFIA.mp4,PERIPATÉTICOS (2013) - EP4 - FILOSOFIA,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I FILOSOFIA.jpg,C:\EPG\thumbs\PERIPATETICOS I FILOSOFIA.jpg,1,160x90,0,OK,2025-09-01 13:04:00.402000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20FILOSOFIA.jpg
PERIPATETICOS I O RISO.mp4,PERIPATÉTICOS (2013) - EP7 - O RISO,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I O RISO.jpg,C:\EPG\thumbs\PERIPATETICOS I O RISO.jpg,1,160x90,0,OK,2025-09-01 13:04:09.505000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20O%20RISO.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I HABLAS PORTUNHOL.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ  - HABLAS PORTUNHOL",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I HABLAS PORTUNHOL.jpg",,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-04 09:55:06.532000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20HABLAS%20PORTUNHOL.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I O PORTUGUÊS ARCAICO E O TOMBAMENTO.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ  - O PORTUGUÊS ARCAICO E O TOMBAMENTO",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I O PORTUGUÊS ARCAICO E O TOMBAMENTO.jpg",,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-04 09:54:51.181000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20O%20PORTUGU%C3%8AS%20ARCAICO%20E%20O%20TOMBAMENTO.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I EXPRESSO OU ESPRESSO.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ -  EXPRESSO OU ESPRESSO",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I EXPRESSO OU ESPRESSO.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I EXPRESSO OU ESPRESSO.jpg",1,160x90,2,OK,2025-09-04 09:53:59.356000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20EXPRESSO%20OU%20ESPRESSO.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I “UAI” É “WHY” QUÊ!! PORQUÊ!.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - “UAI” É “WHY” QUÊ!! PORQUÊ!",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I “UAI” É “WHY” QUÊ!! PORQUÊ!.jpg",,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-29 11:01:32.386000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20%E2%80%9CUAI%E2%80%9D%20%C3%89%20%E2%80%9CWHY%E2%80%9D%20QU%C3%8A%21%21%20PORQU%C3%8A%21.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AL PORTUGUÊS E AL ÁRABE.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - AL PORTUGUÊS E AL ÁRABE",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AL PORTUGUÊS E AL ÁRABE.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AL PORTUGUÊS E AL ÁRABE.jpg",1,160x90,2,OK,2025-08-29 11:01:38.518000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20AL%20PORTUGU%C3%8AS%20E%20AL%20%C3%81RABE.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AS LÍNGUA INDÍGENA.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - AS LÍNGUA INDÍGENA",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AS LÍNGUA INDÍGENA.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I AS LÍNGUA INDÍGENA.jpg",1,160x90,1,OK,2025-08-29 11:01:46.618000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20AS%20L%C3%8DNGUA%20IND%C3%8DGENA.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I DIVERSIDADE É A NOSSA LÍNGUA II.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - DIVERSIDADE É A NOSSA LÍNGUA II",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I DIVERSIDADE É A NOSSA LÍNGUA II.jpg","C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I DIVERSIDADE É A NOSSA LÍNGUA II.jpg",1,160x90,2,OK,2025-08-29 11:02:00.618000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20DIVERSIDADE%20%C3%89%20A%20NOSSA%20L%C3%8DNGUA%20II.jpg
"PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I DIVERSIDADE É A NOSSA LÍNGUA.mp4","PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ - DIVERSIDADE É A NOSSA LÍNGUA",1,1,160x90,"C:\EPG\thumbs\PORTUGUÊS DAQUI, PORTUGUÊS DE LÁ I DIVERSIDADE É A NOSSA LÍNGUA.jpg",,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-29 11:01:52.351000,https://app.tvufop.com.br/epg/PORTUGU%C3%8AS%20DAQUI%2C%20PORTUGU%C3%8AS%20DE%20L%C3%81%20I%20DIVERSIDADE%20%C3%89%20A%20NOSSA%20L%C3%8DNGUA.jpg
